filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/getting-started-wknd-tutorial-develop/TOC.md,,,,,,
help/getting-started-wknd-tutorial-develop/overview.md,Getting Started with AEM Sites - WKND Tutorial,"Getting Started with AEM Sites - WKND Tutorial. The WKND tutorial is a multi-part tutorial designed for developers new to Adobe Experience Manager. The tutorial walks through the implementation of an AEM site for a fictitious lifestyle brand, the WKND. The tutorial covers fundamental topics like project setup, maven archetypes, Core Components, Editable Templates, client libraries, and component development.","Core Components, Page Editor, Editable Templates, AEM Project Archetype","Content Management, Development",Developer,Beginner
help/getting-started-wknd-tutorial-develop/project-setup.md,Getting Started with AEM Sites - Project Setup,Covers the creation of a Maven Multi Module Project to manage the code and configurations for an AEM Site.,AEM Project Archetype,"Content Management, Development",Developer,Beginner
help/getting-started-wknd-tutorial-develop/component-basics.md,Getting Started with AEM Sites - Component Basics,"Understand the underlying technology of an Adobe Experience Manager (AEM) Sites Component through a simple `HelloWorld` example. Topics of HTL, Sling Models, Client-side libraries and author dialogs are explored.","Core Components, Developer Tools","Content Management, Development",Developer,Beginner
help/getting-started-wknd-tutorial-develop/pages-templates.md,Getting Started with AEM Sites - Pages and Templates,Learn about the relationship between a base page component and editable templates. Understand how Core Components are proxied into the project and learn advanced policy configurations of editable templates to build out a well-structured Article Page template based on a mockup from Adobe XD.,"Core Components, Editable Templates","Content Management, Development",Developer,Beginner
help/getting-started-wknd-tutorial-develop/client-side-libraries.md,Client-Side Libraries and Front-end Workflow,"Learn how Client-Side Libraries or clientlibs are used to deploy and manage CSS and Javascript for an Adobe Experience Manager (AEM) Sites implementation. This tutorial will also cover how the ui.frontend module, a webpack project, can be integrated into the end-to-end build process.","Core Components, AEM Project Archetype","Content Management, Development",Developer,Beginner
help/getting-started-wknd-tutorial-develop/style-system.md,Developing with the Style System,Learn how to implement individual styles and re-use Core Components using Experience Manager's Style System. This tutorial covers developing for the Style System to extend Core Components with brand-specific CSS and advanced policy configurations of the Template Editor.,"Core Components, Style System","Content Management, Development",Developer,Beginner
help/getting-started-wknd-tutorial-develop/custom-component.md,Custom Component,Covers the end to end creation of a custom byline component that displays authored content. Includes developing a Sling Model to encapsulate business logic to populate the byline component and corresponding HTL to render the component.,"Core Components, APIs","Content Management, Development",Developer,Beginner
help/getting-started-wknd-tutorial-develop/unit-testing.md,Unit Testing,"This tutorial covers the implementation of a Unit Test that validates the behavior of the Byline component's Sling Model, created in the Custom Component tutorial.","APIs, AEM Project Archetype","Content Management, Development",Developer,Beginner
