filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
./help/sites/TOC.md,,,,,,
help/sites/overview.md,AEM Sites Tutorials,A collection of videos and tutorials for Adobe Experience Manager Sites. ,,Content Management,,
help/sites/page-authoring/aem-sites-authoring-overview.md,Overview of Authoring in AEM Sites,The following video provides an overview of basic concepts of authoring in an AEM author environment. It uses the Sites console as a basis.,"Page Editor, Editable Templates",Content Management,Business Practitioner,Beginner
help/sites/page-authoring/basic-handling-sites-feature-video-use.md,Basic Handling in AEM Sites,The following video provides an overview of basic handling when using the AEM author environment. It uses the Sites console as a basis.,"Page Editor, Editable Templates",Content Management,Business Practitioner,Beginner
help/sites/page-authoring/content-hierarchy-feature-video-use.md,Introduction to AEM Sites Content Hierarchy,The following video highlights how site pages are stored within AEM for your organization.,Page Editor,Content Management,Business Practitioner,Beginner
help/sites/page-authoring/creating-page-feature-video-use.md,Creating a new page in AEM Sites,The following video highlights how to create a site page based on a template in Adobe Experience Manager.,"Page Editor, Editable Templates",Content Management,Business Practitioner,Beginner
help/sites/page-authoring/page-authoring-overview-feature-video-use.md,Authoring a page in AEM Sites,The following video highlights how to author a new page in Adobe Experience Manager Sites using the Site Editor's UI,"Page Editor, Editable Templates",Content Management,Business Practitioner,Beginner
help/sites/page-authoring/page-editor-feature-video-use.md,Using the Page Editor with AEM Sites,The following video highlights several of the top features of the Touch-UI Sites editor in Adobe Experience Manager.,Page Editor,Content Management,Business Practitioner,Beginner
help/sites/page-authoring/page-tagging-feature-video-use.md,Using Page Tagging with AEM Sites,The following video highlights how to quickly and easily classify content within a website in Adobe Experience Manager using page tags.,Page Editor,Content Management,Business Practitioner,Beginner
help/sites/page-authoring/page-versioning-feature-video-use.md,Creating Page Versions for AEM Site pages,"The following video highlights how to create a page version, preview, restore a page version, and compare the current page version with a saved page versions.",,Content Management,Business Practitioner,Beginner
help/sites/page-authoring/page-diff-feature-video-use.md,Using Page Difference with AEM Sites,"AEM Sites' page difference capabilities show provides a quick, color-coded view of what content has changed in a page (version, live copy, launches, language copy).",,Content Management,Business Practitioner,Beginner
help/sites/page-authoring/page-properties-feature-video-understand.md,Understanding Page Properties in AEM Sites,The following video introduces the page properties metadata associated with a page in Adobe Experience Manager.,Page Editor,Content Management,Business Practitioner,Beginner
help/sites/page-authoring/page-operations-feature-video-use.md,Basic page operations in AEM Sites,The following video highlights how to perform basic page management operations for a Adobe Experience Manager Sites page.,"Page Editor, Editable Templates",Content Management,Business Practitioner,Beginner
help/sites/page-authoring/responsive-layout-feature-video-understand.md,Understanding Responsive Layout with AEM Sites,"AEM allows you to have a responsive layout for your pages by using the Layout Container component. With the Responsive Layout, the content authors can create responsive content for different devices and preview end user experience within AEM.","Page Editor, Editable Templates",Content Management,Business Practitioner,Intermediate
help/sites/page-authoring/publication-management-feature-video-use.md,Publishing Pages with AEM Sites,Adobe Experience Manager Sites provides a several options for publishing and un-publishing content. This video explores the various methods and their capabilities.,Publishing,Content Management,Business Practitioner,Beginner
help/sites/page-authoring/template-editor-feature-video-use.md,Using Editable Page Templates with AEM Sites,Editable templates allow specialized authors to create and update page templates and manage advanced policy configurations with AEM Sites.,Editable Templates,Content Management,Business Practitioner,Beginner
help/sites/page-authoring/style-system-feature-video-use.md,Using the Style System with AEM Sites,"Adobe Experience Manager's Style System allows visual variations of components without back-end development, allowing better re-use of AEM components, and more versatile and efficient content authoring. The Style System, when used in conjunction with AEM's Core Components, template editor, and responsive layout, offers powerful capabilities to quickly compose rich experiences.",Style System,Content Management,Business Practitioner,Intermediate
help/sites/page-authoring/timewarp-feature-video-use.md,Using Timewarp with AEM Sites,Timewarp is a feature of Adobe Experience Manager Sites that provides authors with a quick way to review the state of a page at specific time in the past.,Authoring,Content Management,Business Practitioner,Itermediate
help/sites/page-authoring/launches.md,How to use Launches in AEM Sites,"Launches in AEM Sites provide a way to create, author, and review content for future release.",Launches,Content Management,Administrator,"Intermediate, Experienced"
help/sites/components/component-development.md,Component Development in Adobe Experience Manager Sites,"An overview of developing components with Adobe Experience Manager Sites. Includes an introduction to Dialogs, Sling Models, HTL Scripts and Client-Side Libraries.","sling-models, htl",Development,Developer,Beginner
help/sites/components/core-components-feature-video-understand.md,Understanding Core Components,"AEM Core Components are a standard set components to be used with Adobe Experience Manager. Built with Adobe's best practices and standards, Core Components provide a baseline set of functionality for any Sites implementation. ",Core Components,Development,Business Practitioner,Beginner
help/sites/components/components-console-feature-video-use.md,Using the Components Console with AEM Sites,The Components Console provides developers and admin a central location to manage all of the various components in a Sites implementation. The following video details the features of the Components Console.,Core Components,Content Management,Business Practitioner,Intermediate
help/sites/content-fragments/content-fragments-feature-video-use.md,Authoring Content Fragments in AEM,Content Fragments are a content abstraction in AEM that allows text-based content to be authored and managed independently of the channels it supports. ,Content Fragments,Content Management,Business Practitioner,Beginner
help/sites/content-fragments/content-fragments-delivery-feature-video-use.md,Delivering Content Fragments in AEM,"Content Fragments, independent of layout, can be used directly in AEM Sites with Core Components or can be delivered in a headless manner to downstream channels.",Content Fragments,Content Management,Business Practitioner,Beginner
help/sites/content-fragments/content-fragments-translation-feature-video-use.md,Using Translation with AEM Content Fragments,AEM 6.3 introduces the ability to translate Content Fragments. Mixed-media assets and Asset collections associated with a Content Fragment are also eligible to be extracted and translated.,"Content Fragments, Multi Site Manager",Localization,Business Practitioner,Beginner
help/sites/content-fragments/understand-content-fragments-and-experience-fragments.md,Understand Content Fragments and Experience Fragments,"Adobe Experience Manager's Content Fragments and Experience Fragments may seem similar on the surface, but each play key roles in different use cases. Learn how Content Fragments and Experience Fragments are similar, different, and when and how to use each.","Content Fragments, Experience Fragments",Content Management,Business Practitioner,Beginner
help/sites/experience-fragments/experience-fragments-feature-video-use.md,Using AEM Experience Fragments,Experience Fragments allows content authors to reuse content across channels including Sites pages and 3rd party systems.,Experience Fragments,Content Management,Business Practitioner,Beginner
help/sites/experience-fragments/experience-fragments-feature-video-understand.md,Understanding AEM Experience Fragments,Adobe Product Management provides an overview of what’s new with Experience Fragments in the AEM 6.3 release.  ,Experience Fragments,Content Management,Developer,Intermediate
help/sites/experience-fragments/experience-fragments-social-technical-video-setup.md,Set up Social Posting with AEM Experience Fragments,Experience Fragments allow marketers to post experiences created in AEM to social media platforms. The video below details the setup and configuration necessary to publish Experience Fragments to Facebook and Pinterest.,Experience Fragments,Content Management,"Administrator, Developer",Intermediate
help/sites/developing/aem-project-archetype.md,AEM Project Archetype,"The AEM Project Archetype creates a minimal, best-practices-based Adobe Experience Manager project as a starting point for your own AEM projects. ",AEM Project Archetype,Development,Developer,Beginner
help/sites/developing/page-properties-technical-video-develop.md,Extending Page Properties in AEM Sites,Customizing the metadata fields for the Page Properties is a common requirement in any Sites implementation. This video details the most effective way to accomplish this using features of the Sling Resource Merger.,,Content Management,Developer,Intermediate
help/sites/developing/style-system-technical-video-understand.md,Understanding how to code for the AEM Style System,"In this video we'll take a look at the anatomy of the CSS (or LESS) and JavaScript used to style Adobe Experience Manage's Core Title Component using the Style System, as well as how these styles are applied to the HTML and DOM.",Style System,Development,Developer,"Intermediate, Experienced"
help/sites/developing/style-organization-style-system-understand-article.md,Understanding Style System Best Practices with AEM Sites,A detailed article explaining the best practices when it comes to implementing the Style System with Adobe Experience Manager Sites.,Style System,Development,Developer,"Intermediate, Experienced"
help/sites/developing/page-diff-technical-video-develop.md,Developing for Page Difference in AEM Sites,This video shows how to provide custom styles for AEM Sites' Page Difference functionality.,Authoring,Development,Developer,Beginner
help/sites/developing/search-tutorial-develop.md,Simple search implementation guide,"The Simple search implementation are the materials from the 2017 Summit lab AEM Search Demystified. This page contains the materials from this lab. For a guided tour of the lab, please view  the Lab workbook in the Presentation section of this page.",Search,Development,Developer,"Intermediate, Experienced"
help/sites/developing/social-media-sharing-technical-video-use.md,Using Social Media Sharing in AEM Sites,Explore setting up and using the Social Media Sharing component.,Core Components,Content Management,Developer,Intermediate
help/sites/developing/component-icons-technical-video-develop.md,Customizing Component Icons in Adobe Experience Manager Sites,Component Icons allow authors to quickly identify a component with icons or meaningful abbreviations. Authors can now find locate the Components required to build out their Web experiences faster than ever.,Core Components,Development,Business Practitioner,Intermediate
